filepath, label
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/80.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/5.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/57.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/43.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/55.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/7.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/41.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/69.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/96.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/82.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/83.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/97.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/68.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/54.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/6.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/78.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/2.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/50.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/44.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/93.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/86.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/92.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/45.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/3.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/51.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/79.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/47.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/53.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/1.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/84.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/90.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/91.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/85.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/52.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/46.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/61.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/75.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/59.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/71.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/65.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/64.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/70.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/58.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/8.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/66.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/72.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/99.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/98.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/73.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/67.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/9.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/14.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/28.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/101.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/100.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/29.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/15.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/102.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/16.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/12.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/13.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/39.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/11.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/10.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/38.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/21.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/35.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/34.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/20.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/36.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/22.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/23.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/37.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/33.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/27.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/26.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/32.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/18.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/24.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/30.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/31.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/25.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/19.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/42.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/4.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/81.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/95.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/80.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/5.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/57.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/43.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/55.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/7.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/41.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/69.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/96.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/82.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/83.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/97.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/68.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/40.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/54.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/78.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/2.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/50.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/44.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/93.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/87.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/86.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/92.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/45.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/51.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/79.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/47.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/53.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/1.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/84.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/90.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/91.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/85.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Salary Slip/52.jpg,Salary Slip
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/75.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/59.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/71.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/65.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/64.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/70.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/58.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/8.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/66.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/72.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/99.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/98.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/73.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/67.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/9.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/14.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/28.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/100.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/29.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/15.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/17.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/16.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/12.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/13.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/39.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/11.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/10.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/38.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/21.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/35.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/34.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/20.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/36.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/22.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/23.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/37.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/33.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/27.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/26.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/32.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/18.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/24.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/30.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/31.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/25.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/19.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/42.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/4.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/56.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/81.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/95.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/94.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/80.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/5.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/57.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/43.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/55.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/7.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/41.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/69.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/96.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/82.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/83.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/97.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/68.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/40.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/54.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/6.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/78.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/2.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/50.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/44.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/93.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/87.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/86.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/92.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/45.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/3.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/51.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/79.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/47.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/53.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/1.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/84.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/90.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/91.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/85.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/52.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/Check/46.jpg,Check
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/15.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/17.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/16.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/12.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/13.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/39.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/11.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/10.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/38.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/21.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/35.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/34.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/20.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/36.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/22.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/23.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/37.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/33.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/27.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/26.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/32.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/18.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/24.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/30.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/31.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/25.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/19.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/42.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/4.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/43.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/41.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/40.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/2.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/3.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/ITR_Form 16/1.jpg,ITR_Form 16
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/61.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/75.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/59.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/71.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/65.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/64.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/70.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/58.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/8.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/66.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/72.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/99.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/98.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/73.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/67.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/9.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/14.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/28.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/100.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/29.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/15.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/17.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/16.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/12.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/13.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/39.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/11.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/10.jpg,Utility
/Users/luckysrivastava/Workspace/data/DocumentImages/Utility/38.jpg,Utility
